#,config,g,E,Eth_eV,n,Zeff,Eth_nm
0,5s2.5p4.(3P<2>).5p,1.333333,0.000000,31.050000,5,1,39.930499
1,5s2.5p4.(3P<1>).5p,0.800000,0.000000,32.264346,5,1,38.427619
2,5s2.5p4.(3P<0>).5p,0.266667,0.000000,32.058001,5,1,38.674962
3,5s2.5p4.(1D<2>).5p,1.333333,0.000000,33.169972,5,1,37.378445
4,5s2.5p4.(1S<0>).5p,0.266667,0.000000,35.526194,5,1,34.899375
5,5s2.5p4.(3P<2>).5p,0.666667,1.306423,29.743577,5,1,41.684360
6,5s2.5p4.(3P<1>).5p,0.400000,1.306423,30.957923,5,1,40.049262
7,5s2.5p4.(3P<0>).5p,0.133333,1.306423,30.751578,5,1,40.317996
8,5s2.5p4.(1D<2>).5p,0.666667,1.306423,31.863549,5,1,38.910982
9,5s2.5p4.(1S<0>).5p,0.133333,1.306423,34.219771,5,1,36.231744
10,5s.5p5.5p,2.000000,11.266919,32.623081,5,1,38.005055
11,5s2.5p4.(3P<2>).6s,6.000000,11.539016,19.510984,6,1,63.545846
12,5s2.5p4.(3P<2>).6s,4.000000,11.786481,19.263519,6,1,64.362175
13,5s2.5p4.(3P<2>).5d,6.000000,11.827688,19.222312,5,1,64.500149
14,5s2.5p4.(3P<2>).5d,8.000000,11.832763,19.217237,5,1,64.517182
15,5s2.5p4.(3P<2>).5d,4.000000,11.906634,19.143366,5,1,64.766143
16,5s2.5p4.(3P<2>).5d,2.000000,12.008884,19.041116,5,1,65.113935
17,5s2.5p4.(3P<2>).5d,10.000000,12.324648,18.725352,5,1,66.211945
18,5s2.5p4.(3P<0>).6s,2.000000,12.541929,19.516072,6,1,63.529279
19,5s2.5p4.(3P<2>).5d,8.000000,12.588819,18.461181,5,1,67.159408
20,5s2.5p4.(3P<1>).6s,4.0,12.745460,19.518886,6,1,63.520120
21,5s2.5p4.(3P<1>).5d,2.0,12.925360,19.338986,5,1,64.111013
22,5s2.5p4.(3P<2>).5d,4.0,13.057189,17.992811,5,1,68.907631
23,5s2.5p4.(3P<2>).5d,2.0,13.135822,17.914178,5,1,69.210096
24,5s2.5p4.(3P<2>).5d,6.0,13.201244,17.848756,5,1,69.463776
25,5s2.5p4.(3P<1>).6s,2.0,13.254670,19.009676,6,1,65.221626
26,5s2.5p4.(3P<0>).5d,4.0,13.313639,18.744362,5,1,66.144795
27,5s2.5p4.(3P<1>).5d,4.0,13.378453,18.885893,5,1,65.649106
28,5s2.5p4.(3P<0>).5d,6.0,13.391196,18.666805,5,1,66.419614
29,5s2.5p4.(3P<1>).5d,8.0,13.442747,18.821599,5,1,65.873361
30,5s2.5p4.(1D<2>).6s,6.0,13.584098,19.585874,6,1,63.302867
31,5s2.5p4.(3P<1>).5d,4.0,13.802784,18.461562,5,1,67.158022
32,5s2.5p4.(3P<2>).6p,4.0,13.860463,17.189537,6,1,72.127713
33,5s2.5p4.(3P<2>).6p,6.0,13.881133,17.168867,6,1,72.214549
34,5s2.5p4.(3P<1>).5d,6.0,13.973470,18.290876,5,1,67.784724
35,5s2.5p4.(1D<2>).6s,4.0,14.000896,19.169076,6,1,64.679277
36,5s2.5p4.(3P<2>).6p,6.0,14.073739,16.976261,6,1,73.033867
37,5s2.5p4.(3P<2>).6p,2.0,14.093642,16.956358,6,1,73.119592
38,5s2.5p4.(3P<2>).6p,8.0,14.097673,16.952327,6,1,73.136979
39,5s2.5p4.(3P<1>).5d,6.0,14.227321,18.037025,5,1,68.738719
40,5s2.5p4.(1D<2>).5d,10.0,14.246423,18.923549,5,1,65.518470
41,5s2.5p4.(1D<2>).5d,8.0,14.247518,18.922454,5,1,65.522262
42,5s2.5p4.(3P<2>).6p,4.0,14.479258,16.570742,6,1,74.821151
43,5s2.5p4.(1D<2>).5d,6.0,14.764719,18.405253,5,1,67.363485
44,5s2.5p4.(3P<0>).6p,2.0,14.929541,17.128460,6,1,72.384907
45,5s2.5p4.(1D<2>).5d,8.0,14.983882,18.186090,5,1,68.175291
46,5s2.5p4.(3P<1>).6p,2.0,15.024380,17.239966,6,1,71.916730
47,5s2.5p4.(3P<0>).6p,4.0,15.080052,16.977949,6,1,73.026606
48,5s2.5p4.(3P<1>).6p,6.0,15.264010,17.000336,6,1,72.930440
49,5s2.5p4.(3P<1>).6p,4.0,15.281623,16.982723,6,1,73.006077
50,5s2.5p4.(1D<2>).5d,4.0,15.382727,17.787245,5,1,69.703992
51,5s2.5p4.(3P<1>).6p,4.0,15.409928,16.854418,6,1,73.561839
52,5s2.5p4.(1D<2>).5d,6.0,15.411479,17.758493,5,1,69.816847
53,5s2.5p4.(3P<1>).6p,2.0,15.444847,16.819499,6,1,73.714561
54,5s2.5p4.(1D<2>).5d,2.0,15.747332,17.422640,5,1,71.162693
55,5s2.5p4.(1D<2>).5d,4.0,15.811370,17.358602,5,1,71.425221
56,5s2.5p4.(1D<2>).6p,6.0,15.977496,17.192476,6,1,72.115383
57,5s2.5p4.(1S<0>).6s,2.0,16.024758,19.501436,6,1,63.576958
58,5s2.5p4.(1D<2>).6p,4.0,16.076702,17.093270,6,1,72.533926
59,5s2.5p4.(1D<2>).6p,8.0,16.125876,17.044096,6,1,72.743194
60,5s2.5p4.(1D<2>).6p,4.0,16.356465,16.813507,6,1,73.740831
61,5s2.5p4.(1D<2>).6p,6.0,16.391673,16.778299,6,1,73.895571
62,5s2.5p4.(3P<2>).7s,6.0,16.430240,14.619760,7,1,84.805905
63,5s2.5p4.(1D<2>).6p,2.0,16.457805,16.712167,6,1,74.187984
64,5s2.5p4.(3P<2>).7s,4.0,16.513383,14.536617,7,1,85.290958
65,5s2.5p4.(1D<2>).5d,2.0,16.745426,16.424546,5,1,75.487139
66,5s2.5p4.(3P<2>).6d,8.0,16.800766,14.249234,6,1,87.011132
67,5s2.5p4.(3P<2>).6d,6.0,16.805702,14.244298,6,1,87.041284
68,5s2.5p4.(3P<2>).6d,4.0,16.825687,14.224313,6,1,87.163576
69,5s2.5p4.(3P<2>).6d,10.0,16.875446,14.174554,6,1,87.469559
70,5s2.5p4.(3P<2>).6d,2.0,16.930552,14.119448,6,1,87.810939
71,5s2.5p4.(1S<0>).5d,6.0,16.932476,18.593718,5,1,66.680692
72,5s2.5p4.(3P<2>).6d,8.0,16.935970,14.114030,6,1,87.844647
73,5s2.5p4.(1S<0>).5d,4.0,17.117580,18.408614,5,1,67.351186
74,5s2.5p4.(3P<2>).6d,2.0,17.199905,13.850095,6,1,89.518663
75,5s2.5p4.(3P<2>).4f,10.0,17.229820,13.820180,4,1,89.712434
76,5s2.5p4.(3P<2>).4f,8.0,17.234457,13.815543,4,1,89.742545
77,5s2.5p4.(3P<2>).6d,6.0,17.245493,13.804507,6,1,89.814289
78,5s2.5p4.(3P<2>).7p,6.0,17.249770,13.800230,7,1,89.842125
79,5s2.5p4.(3P<2>).4f,6.0,17.256441,13.793559,4,1,89.885575
80,5s2.5p4.(3P<2>).7p,4.0,17.257832,13.792168,7,1,89.894641
81,5s2.5p4.(3P<2>).4f,4.0,17.295605,13.754395,4,1,90.141514
82,5s2.5p4.(3P<2>).6d,4.0,17.313207,13.736793,6,1,90.257019
83,5s2.5p4.(3P<2>).7p,6.0,17.313895,13.736105,7,1,90.261540
84,5s2.5p4.(3P<2>).7p,8.0,17.324794,13.725206,7,1,90.333215
85,5s2.5p4.(3P<2>).4f,12.0,17.330760,13.719240,4,1,90.372498
86,5s2.5p4.(3P<2>).4f,10.0,17.345839,13.704161,4,1,90.471937
87,5s2.5p4.(3P<2>).7p,2.0,17.359224,13.690776,7,1,90.560388
88,5s2.5p4.(3P<2>).4f,8.0,17.361506,13.688494,4,1,90.575485
89,5s2.5p4.(3P<2>).4f,2.0,17.380808,13.669192,4,1,90.703385
90,5s2.5p4.(3P<2>).4f,6.0,17.383823,13.666177,4,1,90.723396
91,5s2.5p4.(3P<2>).4f,4.0,17.399334,13.650666,4,1,90.826483
92,5s2.5p4.(3P<0>).7s,2.0,17.467318,14.590683,7,1,84.974911
93,5s2.5p4.(3P<2>).7p,4.0,17.480147,13.569853,7,1,91.367385
94,5s2.5p4.(3P<1>).7s,4.0,17.653134,14.611212,7,1,84.855519
95,5s2.5p4.(3P<1>).7s,2.0,17.721049,14.543297,7,1,85.251782
96,5s2.5p4.(3P<0>).6d,4.0,17.871102,14.186899,6,1,87.393445
97,5s2.5p4.(3P<0>).6d,6.0,17.901446,14.156555,6,1,87.580770
98,5s2.5p4.(3P<1>).6d,2.0,18.005323,14.259023,6,1,86.951398
99,5s2.5p4.(3P<1>).6d,8.0,18.050563,14.213783,6,1,87.228149
100,5s2.5p4.(3P<1>).6d,4.0,18.094296,14.170050,6,1,87.497361
101,5s2.5p4.(3P<1>).6d,6.0,18.139575,14.124771,6,1,87.777847
102,5s2.5p4.(3P<1>).6d,6.0,18.216733,14.047613,6,1,88.259976
103,5s2.5p4.(3P<2>).8s,6.0,18.264179,12.785821,8,1,96.970072
104,5s2.5p4.(3P<0>).4f,6.0,18.289865,13.768136,4,1,90.051550
105,5s2.5p4.(3P<2>).8s,4.0,18.295651,12.754349,8,1,97.209351
106,5s2.5p4.(3P<0>).4f,8.0,18.296237,13.761764,4,1,90.093246
107,5s2.5p4.(3P<1>).6d,4.0,18.360224,13.904122,6,1,89.170822
108,5s2.5p4.(1S<0>).6p,2.0,18.377519,17.148675,6,1,72.299579
109,5s2.5p4.(3P<1>).4f,4.0,18.396168,13.868178,4,1,89.401938
110,5s2.5p4.(3P<1>).4f,10.0,18.422302,13.842044,4,1,89.570730
111,5s2.5p4.(3P<1>).4f,6.0,18.467670,13.796676,4,1,89.865268
112,5s2.5p4.(1S<0>).6p,4.0,18.497412,17.028782,6,1,72.808612
113,5s2.5p4.(3P<1>).4f,8.0,18.508411,13.755935,4,1,90.131422
114,5s2.5p4.(3P<1>).4f,8.0,18.558283,13.706063,4,1,90.459382
115,5s2.5p4.(1D<2>).7s,6.0,18.560092,14.609880,7,1,84.863256
116,5s2.5p4.(3P<1>).4f,6.0,18.572858,13.691488,4,1,90.555678
117,5s2.5p4.(1D<2>).7s,4.0,18.573180,14.596792,7,1,84.939347
118,5s2.5p4.(3P<2>).5f,12.0,18.609638,12.440362,5,1,99.662854
119,5s2.5p4.(3P<2>).5f,10.0,18.623885,12.426115,5,1,99.777121
120,5s2.5p4.(3P<2>).5g,10.0,18.776450,12.273550,5,1,101.017390
121,5s2.5p4.(3P<2>).5g,8.0,18.776987,12.273013,5,1,101.021810
122,5s2.5p4.(3P<2>).5g,12.0,18.777568,12.272432,5,1,101.026592
123,5s2.5p4.(3P<2>).5g,10.0,18.777730,12.272270,5,1,101.027926
124,5s2.5p4.(3P<2>).5g,8.0,18.783470,12.266530,5,1,101.075201
125,5s2.5p4.(3P<2>).5g,6.0,18.783725,12.266275,5,1,101.077302
126,5s2.5p4.(3P<2>).5g,14.0,18.786400,12.263600,5,1,101.099350
127,5s2.5p4.(3P<2>).5g,12.0,18.786412,12.263588,5,1,101.099449
128,5s2.5p4.(3P<2>).5g,4.0,18.791596,12.258404,5,1,101.142203
129,5s2.5p4.(3P<2>).5g,6.0,18.791617,12.258383,5,1,101.142376
130,5s2.5p4.(1D<2>).6d,8.0,18.933493,14.236479,6,1,87.089089
131,5s2.5p4.(1D<2>).6d,10.0,18.945620,14.224352,6,1,87.163337
132,5s2.5p4.(1D<2>).6d,4.0,19.042000,14.127972,6,1,87.757959
133,5s2.5p4.(1D<2>).6d,6.0,19.042201,14.127771,6,1,87.759207
134,5s2.5p4.(1D<2>).6d,8.0,19.090885,14.079087,6,1,88.062669
135,5s2.5p4.(1D<2>).6d,6.0,19.097586,14.072386,6,1,88.104603
136,5s2.5p4.(1D<2>).6d,2.0,19.141031,14.028941,6,1,88.377447
137,5s2.5p4.(1D<2>).6d,4.0,19.168958,14.001014,6,1,88.553728
138,5s2.5p4.(1D<2>).4f,4.0,19.275006,13.894966,4,1,89.229580
139,5s2.5p4.(3P<2>).6f,12.0,19.320300,11.729700,6,1,105.701082
140,5s2.5p4.(3P<2>).6f,10.0,19.321950,11.728050,6,1,105.715953
141,5s2.5p4.(1D<2>).4f,12.0,19.357462,13.812510,4,1,89.762251
142,5s2.5p4.(1D<2>).4f,10.0,19.366560,13.803412,4,1,89.821414
143,5s2.5p4.(1D<2>).4f,6.0,19.370770,13.799202,4,1,89.848818
144,5s2.5p4.(1D<2>).4f,4.0,19.378994,13.790978,4,1,89.902397
145,5s2.5p4.(3P<2>).6g,12.0,19.449760,11.600240,6,1,106.880718
146,5s2.5p4.(3P<2>).6g,10.0,19.449877,11.600123,6,1,106.881796
147,5s2.5p4.(3P<2>).6g,8.0,19.450086,11.599914,6,1,106.883722
148,5s2.5p4.(3P<2>).6g,10.0,19.450264,11.599736,6,1,106.885362
149,5s2.5p4.(3P<2>).6g,6.0,19.453430,11.596570,6,1,106.914543
150,5s2.5p4.(3P<2>).6g,8.0,19.453643,11.596357,6,1,106.916507
151,5s2.5p4.(3P<2>).6g,12.0,19.454817,11.595183,6,1,106.927332
152,5s2.5p4.(3P<2>).6g,14.0,19.454830,11.595170,6,1,106.927452
153,5s2.5p4.(3P<1>).8s,4.0,19.476910,12.787436,8,1,96.957825
154,5s2.5p4.(1D<2>).4f,8.0,19.478235,13.691737,4,1,90.554032
155,5s2.5p4.(1D<2>).4f,6.0,19.492923,13.677049,4,1,90.651279
156,5s2.5p4.(3P<1>).8s,2.0,19.511210,12.753136,8,1,97.218597
157,5s2.5p4.(1D<2>).4f,10.0,19.517168,13.652804,4,1,90.812260
158,5s2.5p4.(1D<2>).4f,8.0,19.519158,13.650814,4,1,90.825498
159,5s2.5p4.(3P<0>).5g,8.0,19.789999,12.268002,5,1,101.063073
160,5s2.5p4.(3P<0>).5g,10.0,19.790053,12.267948,5,1,101.063518
161,5s2.5p4.(3P<2>).7g,12.0,19.855316,11.194684,7,1,110.752745
162,5s2.5p4.(3P<2>).7g,14.0,19.857670,11.192330,7,1,110.776039
163,5s2.5p4.(3P<2>).7g,12.0,19.857830,11.192170,7,1,110.777623
164,5s2.5p4.(3P<1>).5g,6.0,19.990973,12.273373,5,1,101.018847
165,5s2.5p4.(3P<1>).5g,8.0,19.990991,12.273355,5,1,101.018995
166,5s2.5p4.(3P<1>).5g,12.0,19.993376,12.270970,5,1,101.038629
